,location
0,United States
1,serenity 
2,california
3,Broward
4,"Detroit, MI"
5,"Seaside, California, USA"
6,my home
7,"Seaside, California, USA"
8,Base Hereford
9,New Zealand
10,SomeWhere over the Rainbow
11,my home
12,Ottawa
13,"Georgia, USA"
14,Free Hanseatic City of Bremen
15,"Milwaukee, WI"
16,NorCal
17,"Richmond, KY"
18,Midwest United States
19,"New Orleans, Louisiana."
20,"Maine, USA"
21,the zoo
22,Utopia™
23,South Carolina❤️
24,"Pittsburgh, PA"
25,"Bintulu, Sarawak"
26,"Lafayette, CO"
27,"Milwaukee, WI"
28,"Overland Park, KS"
29,"odenton, md"
30,"San Mateo County, California"
31,The Universe
32,"Caro, MI"
33,"Huntington Beach, CA"
34,"Hetauda, Nepal"
35,US
36,United States
37,USA
38,"Washington, DC"
39,New Zealand
40,"Philadelphia, PA"
41,VA
42,Macedonian Content Farmer 
43,"Washington, DC"
44,NEO
45,"Nashville, TN"
46,Oman
47,"Detroit, MI "
48,"Wrightwood, CA"
49,Nagpur
50,"Toronto, Ontario Canada"
51,"San Luis Obispo, CA"
52,Mississippi
53,"Central Okanagan, British Columbia"
54,Barcelona Spain
55,New Jersey
56,Michigan
57,Jamaica
58,"Erlanger, KY"
59,United States
60,"Corinth, MS"
61,"Anand, India"
62,luke 1:37 / proverbs 31:25 🌺
63,Malaysia 🇲🇾
64,Land of the Sufis
65,"Philadelphia, PA"
66,London
67,"Galveston, TX"
68,"Arizona, USA"
69,"Wrightwood, CA"
70,"Indiana, USA"
71,"Toronto, Ontario"
72,Sports Purgatory
73,"Boulder, CO"
74,"Hudson Valley, New York"
75,"Tempe, AZ"
76,GA
77,"Chicago, IL"
78,Brisbane
79,"Norfolk, VA"
80,"San Diego, CA"
81,NorCal
82,"Canutillo, TX"
83,"Kakistocracy, here there tither and yon"
84,"Oregon, USA"
85,"Lyon, France"
86,Toronto
87,"Harrisburg, PA"
88,The United States of America
89,https://gab.com/Neeto_Heeto
90,GA
91,Malaysia
92,"Manchester, NH"
93,"Berkeley, CA"
94,"Ontario, Canada"
95,Northern Illinois
96,"Ann Arbor, MI"
97,"Omaha, NE"
98,"Ottawa, Canada"
99,"Texas, USA"
100,FL/VZLA
101,"Tempe, AZ"
102,Los Angeles
103,United States
104,Planet Earth
105,"Pennsylvania, USA"
106,"Columbus, OH"
107,Australia
108,"Salem, MO"
109,"Wrightwood, CA"
110,"odenton, md"
111,"Houston, TX"
112,Mister Rogers’ Neighborhood
113,"Auburn, MA"
114,"Behind you, USA"
115,"New Jersey, USA"
116,"Perris, California"
117,A2 ✈️ Cali
118,"Arlington, VA"
119,Hell
120,"Colorado, CO"
121,peace
122,"Toronto, Ontario"
123,NYC
124,"Little Rock, AR"
125,"Nazareth, PA"
126,"Tempe, AZ"
127,"Shreveport, LA"
128,"San Antonio, TX"
129,The hills of TN
130,Michigan
131,"Maryland, USA"
132,"Louisiana ✈️ Santa Cruz, CA"
133,"Sacramento, CA"
134,"Texas, USA"
135,Cincinnati 
136,out west
137,San Francisco
138,United States
139,NFA
140,PHL👣NYC
141,"Hobart, Tasmania"
142,"Mobile, AL"
143,Davao Region
144,"Cyberspace, baby!"
145,US
146,"Bossier City, LA"
147,Pacific Northwest
148,United States
149,California
150,2600
151,"Virginia, USA"
152,"Manhattan, Kansas"
153,"South Carolina, USA"
154,"British Columbia, Canada"
155,United States
156,"Manhattan, NY"
157,"Trivandrum, India"
158,US
159,"Ottawa, Ontario"
160,London and around the world
161,Pale blue dot 
162,"Behind you, USA"
163,The Great USA 
164,"Berkeley, CA"
165,"Sacramento, CA"
166,"Michigan, USA"
167,"BBR, Klang."
168,"Scottsdale, AZ"
169,"chicago, il"
170,"East Denpasar, Indonesia"
171,"Tempe, AZ"
172,"Western Wyoming, USA"
173,Everett Washington USA
174,US
175,Chilling like a villian
176,"Miami , FL"
177,"Toronto, ON"
178,US
179,Indiana
180,Everywhere
181,Baltimore to Pa USA
182,"New York, NY"
183,"El Granada, CA"
184,US
185,"Red Creek, NY"
186,"Houston, TX (and well beyond)"
187,"Otisville, MI"
188,"Curitiba, Brasil"
189,"California, USA"
190,Rural New Zealand
191,"Freedom, USA"
192,"Austin, TX"
