Number of Influenza Associated Pediatric Deaths by Week of Death (data downloaded on 2/24/2019)
SEASON,WEEK NUMBER,NO. OF DEATHS ,PREVIOUS WEEK DEATHS,CURRENT WEEK DEATHS
2015-16,2015-40,0,0,0
2015-16,2015-41,0,0,0
2015-16,2015-42,0,0,0
2015-16,2015-43,0,0,0
2015-16,2015-44,2,2,0
2015-16,2015-45,0,0,0
2015-16,2015-46,0,0,0
2015-16,2015-47,0,0,0
2015-16,2015-48,2,2,0
2015-16,2015-49,1,1,0
2015-16,2015-50,1,1,0
2015-16,2015-51,1,1,0
2015-16,2015-52,1,1,0
2015-16,2016-01,0,0,0
2015-16,2016-02,2,2,0
2015-16,2016-03,0,0,0
2015-16,2016-04,3,3,0
2015-16,2016-05,1,1,0
2015-16,2016-06,2,2,0
2015-16,2016-07,5,5,0
2015-16,2016-08,8,8,0
2015-16,2016-09,6,6,0
2015-16,2016-10,4,4,0
2015-16,2016-11,9,9,0
2015-16,2016-12,8,8,0
2015-16,2016-13,11,11,0
2015-16,2016-14,9,9,0
2015-16,2016-15,4,4,0
2015-16,2016-16,1,1,0
2015-16,2016-17,2,2,0
2015-16,2016-18,1,1,0
2015-16,2016-19,3,3,0
2015-16,2016-20,0,0,0
2015-16,2016-21,2,2,0
2015-16,2016-22,1,1,0
2015-16,2016-23,1,1,0
2015-16,2016-24,0,0,0
2015-16,2016-25,1,1,0
2015-16,2016-26,0,0,0
2015-16,2016-27,1,1,0
2015-16,2016-28,1,1,0
2015-16,2016-29,0,0,0
2015-16,2016-30,0,0,0
2015-16,2016-31,0,0,0
2015-16,2016-32,0,0,0
2015-16,2016-33,0,0,0
2015-16,2016-34,0,0,0
2015-16,2016-35,0,0,0
2015-16,2016-36,0,0,0
2015-16,2016-37,0,0,0
2015-16,2016-38,0,0,0
2015-16,2016-39,0,0,0
2016-17,2016-40,0,0,0
2016-17,2016-41,0,0,0
2016-17,2016-42,0,0,0
2016-17,2016-43,0,0,0
2016-17,2016-44,0,0,0
2016-17,2016-45,0,0,0
2016-17,2016-46,0,0,0
2016-17,2016-47,0,0,0
2016-17,2016-48,1,1,0
2016-17,2016-49,1,1,0
2016-17,2016-50,1,1,0
2016-17,2016-51,4,4,0
2016-17,2016-52,1,1,0
2016-17,2017-01,5,5,0
2016-17,2017-02,4,4,0
2016-17,2017-03,4,4,0
2016-17,2017-04,9,9,0
2016-17,2017-05,5,5,0
2016-17,2017-06,8,8,0
2016-17,2017-07,12,12,0
2016-17,2017-08,11,11,0
2016-17,2017-09,1,1,0
2016-17,2017-10,4,4,0
2016-17,2017-11,5,5,0
2016-17,2017-12,3,3,0
2016-17,2017-13,3,3,0
2016-17,2017-14,5,5,0
2016-17,2017-15,10,10,0
2016-17,2017-16,3,3,0
2016-17,2017-17,3,3,0
2016-17,2017-18,1,1,0
2016-17,2017-19,0,0,0
2016-17,2017-20,1,1,0
2016-17,2017-21,2,2,0
2016-17,2017-22,0,0,0
2016-17,2017-23,1,1,0
2016-17,2017-24,0,0,0
2016-17,2017-25,0,0,0
2016-17,2017-26,0,0,0
2016-17,2017-27,0,0,0
2016-17,2017-28,0,0,0
2016-17,2017-29,0,0,0
2016-17,2017-30,0,0,0
