,user,date,text,favorite_count,location
0,planetvinny,Thu Mar 07 03:31:36 +0000 2019,RT @ShirleyMathus: @michellemalkin Thank you for speaking out for us vaccine skeptics!,0,United States
1,skxterDrew,Thu Mar 07 03:31:32 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,serenity 
2,hoofheart1,Thu Mar 07 03:31:32 +0000 2019,"RT @NPR: 18-year-old Ethan Lindenberger told Congress his anti-vaccine mother got most of her misinformation about vaccines on Facebook, wh…",0,california
3,duckyboy999,Thu Mar 07 03:31:29 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,Broward
4,Conscious1962,Thu Mar 07 03:31:25 +0000 2019,Cuba has a lung cancer vaccine. Many U.S. patients can’t get it without breaking the law https://t.co/FxRWEZ5ADB,0,"Detroit, MI"
5,BeckyJohnson222,Thu Mar 07 03:31:22 +0000 2019,RT @ChildrensHD: Failure to Vaccinate or Vaccine Failure? The HELP Committee met yesterday to consider what is driving preventable disease…,0,"Seaside, California, USA"
6,Crunchymama83,Thu Mar 07 03:31:16 +0000 2019,"RT @Candrade828: New “Danish Study” everyone is talking about. They forget to read the most important part, where the study was FUNDED by t…",0,my home
7,BeckyJohnson222,Thu Mar 07 03:31:14 +0000 2019,"RT @doctorsensation: New document about the potential harmful effects of vaccination! ""Pathways for Vaccine Damage"" https://t.co/u8jzrp2tnb",0,"Seaside, California, USA"
8,pietro_bernardi,Thu Mar 07 03:31:07 +0000 2019,Trying To Find A Doctor at an Anti Vaccine Rally https://t.co/qj6lUjjvCX,0,Base Hereford
9,wiggley_dale,Thu Mar 07 03:31:04 +0000 2019,RT @JeffereyJaxen: Here's vaccine #misinformation from Sen. Alexander: FDA's 'gold standard' never required inert placebo-controlled trials…,0,New Zealand
10,ginaC777,Thu Mar 07 03:31:02 +0000 2019,@DennisB07816226 @DrKND Polia vaccine isn't bad. all the others are. https://t.co/LjEF0Qci5o,1,SomeWhere over the Rainbow
11,Crunchymama83,Thu Mar 07 03:30:55 +0000 2019,"RT @Wallace_Noll: Genetic sequencing science breakthrough just proved that measles “outbreaks” are caused by the measles vaccine
https://t.…",0,my home
12,isarcat,Thu Mar 07 03:30:52 +0000 2019,"RT @OttawaCitizen: Largest ever study shows the measles, mumps and rubella vaccine is linked to lower rates of autism https://t.co/L8J4R9LJ…",0,Ottawa
13,magsthecrazy,Thu Mar 07 03:30:46 +0000 2019,"RT @ajplus: A major new study confirms the MMR vaccine for measles, mumps and rubella has no link to autism. Researchers from Denmark follo…",0,"Georgia, USA"
14,markwege,Thu Mar 07 03:30:44 +0000 2019,"RT @definite_ly: A study has confirmed, again, that #vaccines do not cause autism -- https://t.co/pEM8qVa9Hl",0,Free Hanseatic City of Bremen
15,SteveSpiffy,Thu Mar 07 03:30:41 +0000 2019,Goodnight I feel a bit better from the flu so I plan to go to work tomorrow  with 2 quarts of Japanese Green Tea. #allstartrek,6,"Milwaukee, WI"
